userId,registerType,category,state,city,groupSize,collegeName,companyName,isPresent
1802,GROUP,FAMILY,Tamil Nadu,Guntur,4,,,0
1191,INDIVIDUAL,COLLEGE_STUDENT,Tamil Nadu,Thiruvallur,1,Chennai institute of technology ,,0
1818,GROUP,FAMILY,Tamil Nadu,Thiruvallur,4,,,1
252,INDIVIDUAL,COLLEGE_STUDENT,Tamil Nadu,Kanchipuram,1,Velammal institute of technology,,0
2506,INDIVIDUAL,COLLEGE_STUDENT,Kerala,Tirupati,1,Chennai institute of technology ,,0
1118,INDIVIDUAL,OTHERS,Tamil Nadu,Chennai,1,,,1
1412,INDIVIDUAL,COLLEGE_STUDENT,Tamil Nadu,Coimbatore,1,NRI INSTITUTE OF TECHNOLOGY ,,0
2114,INDIVIDUAL,OTHERS,Tamil Nadu,Vellore,1,,,1
409,INDIVIDUAL,OTHERS,Tamil Nadu,Hyderabad,1,,,1
2580,GROUP,FAMILY,Tamil Nadu,Bangalore,2,,,1
2255,INDIVIDUAL,OTHERS,Puducherry,Kanchipuram,1,,,1
53,INDIVIDUAL,OTHERS,Tamil Nadu,Other,1,,,0
645,INDIVIDUAL,COLLEGE_STUDENT,Tamil Nadu,Chengalpattu,1,Saveetha Engineering College,,0
1764,GROUP,FAMILY,Andhra Pradesh,Vellore,3,,,0
2777,INDIVIDUAL,COLLEGE_STUDENT,Tamil Nadu,Nellore,1,Panimalar Engineering College,,1
901,INDIVIDUAL,COLLEGE_STUDENT,Tamil Nadu,Guntur,1,University of Madras ,,1
1074,INDIVIDUAL,COLLEGE_STUDENT,Andhra Pradesh,Chennai,1,Rajalakshmi Engineering College,,1
473,INDIVIDUAL,COLLEGE_STUDENT,Karnataka,Chennai,1,Rajalakshmi engineering college ,,0
2739,INDIVIDUAL,OTHERS,Tamil Nadu,Nellore,1,,,0
2547,INDIVIDUAL,COLLEGE_STUDENT,Karnataka,Thiruvallur,1,PANIMALAR ENGINEERING COLLEGE,,0
45,INDIVIDUAL,COLLEGE_STUDENT,Telangana,Tirupati,1,Panimalar engineering college ,,1
290,GROUP,FAMILY,Andhra Pradesh,Coimbatore,6,,,0
913,GROUP,FAMILY,Tamil Nadu,Bangalore,3,,,1
2084,INDIVIDUAL,OTHERS,Telangana,Kanchipuram,1,,,0
1361,INDIVIDUAL,OTHERS,Karnataka,Bangalore,1,,,0
2896,INDIVIDUAL,OTHERS,Andhra Pradesh,Tiruvallur,1,,,1
2604,INDIVIDUAL,COLLEGE_STUDENT,Tamil Nadu,Chengalpattu,1,Panimalar Engineering College,,0
1227,INDIVIDUAL,COLLEGE_STUDENT,Tamil Nadu,Other,1,Ethiraj college for women ,,0
